pacote,versao,local_lockfile,tipo,marcado_dev,opcional,candidato_windows_x64,script_instalacao_declarado,os_declarado,cpu_declarada,node_engines,origem_url,host_origem,integridade_algoritmo,categoria_avaliacao,pontos_para_revisao,cadeia_exemplo,situacao_nexus
@angular/forms,21.2.21,node_modules/@angular/forms,direta,false,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/forms/-/forms-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/forms@21.2.21,NAO_VERIFICADA
@angular/platform-browser,21.2.21,node_modules/@angular/platform-browser,direta,false,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/platform-browser/-/platform-browser-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/platform-browser@21.2.21,NAO_VERIFICADA
@angular/router,21.2.21,node_modules/@angular/router,direta,false,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/router/-/router-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/router@21.2.21,NAO_VERIFICADA
@babel/code-frame,7.29.7,node_modules/@babel/code-frame,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/code-frame@7.29.7,NAO_VERIFICADA
@babel/compat-data,7.29.7,node_modules/@babel/compat-data,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/helper-compilation-targets@7.29.7 > @babel/compat-data@7.29.7,NAO_VERIFICADA
@babel/core,7.29.7,node_modules/@babel/core,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/core/-/core-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7,NAO_VERIFICADA
@babel/generator,7.29.8,node_modules/@babel/generator,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/generator/-/generator-7.29.8.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/generator@7.29.8,NAO_VERIFICADA
@babel/helper-annotate-as-pure,7.27.3,node_modules/@babel/helper-annotate-as-pure,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-annotate-as-pure/-/helper-annotate-as-pure-7.27.3.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/helper-annotate-as-pure@7.27.3,NAO_VERIFICADA
@babel/helper-compilation-targets,7.29.7,node_modules/@babel/helper-compilation-targets,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/helper-compilation-targets@7.29.7,NAO_VERIFICADA
@babel/helper-globals,7.29.7,node_modules/@babel/helper-globals,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/traverse@7.29.8 > @babel/helper-globals@7.29.7,NAO_VERIFICADA
@babel/helper-module-imports,7.29.7,node_modules/@babel/helper-module-imports,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/helper-module-transforms@7.29.7 > @babel/helper-module-imports@7.29.7,NAO_VERIFICADA
@babel/helper-module-transforms,7.29.7,node_modules/@babel/helper-module-transforms,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/helper-module-transforms@7.29.7,NAO_VERIFICADA
@babel/helper-split-export-declaration,7.24.7,node_modules/@babel/helper-split-export-declaration,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-split-export-declaration/-/helper-split-export-declaration-7.24.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/helper-split-export-declaration@7.24.7,NAO_VERIFICADA
@babel/helper-string-parser,7.29.7,node_modules/@babel/helper-string-parser,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/types@7.29.8 > @babel/helper-string-parser@7.29.7,NAO_VERIFICADA
@babel/helper-validator-identifier,7.29.7,node_modules/@babel/helper-validator-identifier,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/code-frame@7.29.7 > @babel/helper-validator-identifier@7.29.7,NAO_VERIFICADA
@babel/helper-validator-option,7.29.7,node_modules/@babel/helper-validator-option,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/helper-compilation-targets@7.29.7 > @babel/helper-validator-option@7.29.7,NAO_VERIFICADA
@babel/helpers,7.29.7,node_modules/@babel/helpers,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/helpers/-/helpers-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/helpers@7.29.7,NAO_VERIFICADA
@babel/parser,7.29.8,node_modules/@babel/parser,transitiva,true,false,true,false,,,>=6.0.0,https://registry.npmjs.org/@babel/parser/-/parser-7.29.8.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/parser@7.29.8,NAO_VERIFICADA
@babel/template,7.29.7,node_modules/@babel/template,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/template/-/template-7.29.7.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/template@7.29.7,NAO_VERIFICADA
@babel/traverse,7.29.8,node_modules/@babel/traverse,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/traverse/-/traverse-7.29.8.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/traverse@7.29.8,NAO_VERIFICADA
@babel/types,7.29.8,node_modules/@babel/types,transitiva,true,false,true,false,,,>=6.9.0,https://registry.npmjs.org/@babel/types/-/types-7.29.8.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @babel/core@7.29.7 > @babel/types@7.29.8,NAO_VERIFICADA
@emnapi/core,1.11.3,node_modules/@emnapi/core,transitiva,true,true,true,false,,,,https://registry.npmjs.org/@emnapi/core/-/core-1.11.3.tgz,registry.npmjs.org,sha512,CANDIDATO_OPCIONAL,"opcional: ausência pode afetar desempenho ou build, depende do consumidor",@angular/build@21.2.21 > rolldown@1.0.0-rc.4 > @rolldown/binding-wasm32-wasi@1.0.0-rc.4 > @napi-rs/wasm-runtime@1.2.3 > @emnapi/core@1.11.3,NAO_VERIFICADA
@emnapi/runtime,1.11.3,node_modules/@emnapi/runtime,transitiva,true,true,true,false,,,,https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.11.3.tgz,registry.npmjs.org,sha512,CANDIDATO_OPCIONAL,"opcional: ausência pode afetar desempenho ou build, depende do consumidor",@angular/build@21.2.21 > rolldown@1.0.0-rc.4 > @rolldown/binding-wasm32-wasi@1.0.0-rc.4 > @napi-rs/wasm-runtime@1.2.3 > @emnapi/runtime@1.11.3,NAO_VERIFICADA
@emnapi/wasi-threads,1.2.3,node_modules/@emnapi/wasi-threads,transitiva,true,true,true,false,,,,https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.3.tgz,registry.npmjs.org,sha512,CANDIDATO_OPCIONAL,"opcional: ausência pode afetar desempenho ou build, depende do consumidor",@angular/build@21.2.21 > rolldown@1.0.0-rc.4 > @rolldown/binding-wasm32-wasi@1.0.0-rc.4 > @napi-rs/wasm-runtime@1.2.3 > @emnapi/core@1.11.3 > @emnapi/wasi-threads@1.2.3,NAO_VERIFICADA
@esbuild/aix-ppc64,0.28.1,node_modules/@esbuild/aix-ppc64,transitiva,true,true,false,false,aix,ppc64,>=18,https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/aix-ppc64@0.28.1,NAO_VERIFICADA
@esbuild/android-arm,0.28.1,node_modules/@esbuild/android-arm,transitiva,true,true,false,false,android,arm,>=18,https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/android-arm@0.28.1,NAO_VERIFICADA
@esbuild/android-arm64,0.28.1,node_modules/@esbuild/android-arm64,transitiva,true,true,false,false,android,arm64,>=18,https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/android-arm64@0.28.1,NAO_VERIFICADA
@esbuild/android-x64,0.28.1,node_modules/@esbuild/android-x64,transitiva,true,true,false,false,android,x64,>=18,https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/android-x64@0.28.1,NAO_VERIFICADA
@esbuild/darwin-arm64,0.28.1,node_modules/@esbuild/darwin-arm64,transitiva,true,true,false,false,darwin,arm64,>=18,https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/darwin-arm64@0.28.1,NAO_VERIFICADA
@esbuild/darwin-x64,0.28.1,node_modules/@esbuild/darwin-x64,transitiva,true,true,false,false,darwin,x64,>=18,https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/darwin-x64@0.28.1,NAO_VERIFICADA
@esbuild/freebsd-arm64,0.28.1,node_modules/@esbuild/freebsd-arm64,transitiva,true,true,false,false,freebsd,arm64,>=18,https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/freebsd-arm64@0.28.1,NAO_VERIFICADA
@esbuild/freebsd-x64,0.28.1,node_modules/@esbuild/freebsd-x64,transitiva,true,true,false,false,freebsd,x64,>=18,https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/freebsd-x64@0.28.1,NAO_VERIFICADA
@esbuild/linux-arm,0.28.1,node_modules/@esbuild/linux-arm,transitiva,true,true,false,false,linux,arm,>=18,https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-arm@0.28.1,NAO_VERIFICADA
@esbuild/linux-arm64,0.28.1,node_modules/@esbuild/linux-arm64,transitiva,true,true,false,false,linux,arm64,>=18,https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-arm64@0.28.1,NAO_VERIFICADA
@esbuild/linux-ia32,0.28.1,node_modules/@esbuild/linux-ia32,transitiva,true,true,false,false,linux,ia32,>=18,https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-ia32@0.28.1,NAO_VERIFICADA
@esbuild/linux-loong64,0.28.1,node_modules/@esbuild/linux-loong64,transitiva,true,true,false,false,linux,loong64,>=18,https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-loong64@0.28.1,NAO_VERIFICADA
@esbuild/linux-mips64el,0.28.1,node_modules/@esbuild/linux-mips64el,transitiva,true,true,false,false,linux,mips64el,>=18,https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-mips64el@0.28.1,NAO_VERIFICADA
@esbuild/linux-ppc64,0.28.1,node_modules/@esbuild/linux-ppc64,transitiva,true,true,false,false,linux,ppc64,>=18,https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-ppc64@0.28.1,NAO_VERIFICADA
@esbuild/linux-riscv64,0.28.1,node_modules/@esbuild/linux-riscv64,transitiva,true,true,false,false,linux,riscv64,>=18,https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-riscv64@0.28.1,NAO_VERIFICADA
@esbuild/linux-s390x,0.28.1,node_modules/@esbuild/linux-s390x,transitiva,true,true,false,false,linux,s390x,>=18,https://registry.npmjs.org/@esbuild/linux-s390x/-/linux-s390x-0.28.1.tgz,registry.npmjs.org,sha512,EXCLUIDO_WINDOWS_X64,incompatível com Windows x64 pelos metadados: opcional,@angular/build@21.2.21 > esbuild@0.28.1 > @esbuild/linux-s390x@0.28.1,NAO_VERIFICADA
